|       4680 <= x <        4740;  y_52         =   87.0000 +    -0.3500x     0.0000x^2     0.3500x_3 ; Bezier Curve 
|       4770 <= x <        4830;  y_53         =   85.0000 +    -2.0333x     1.9667x^2     0.1667x_3 ; Bezier Curve 
|       4860 <= x <        4920;  y_54         =   65.0000 +     1.0000x     0.0000x^2    -1.0000x_3 ; Bezier Curve 
|       4950 <= x <        5010;  y_55         =   86.0000 +     6.3750x   -14.7500x^2     7.6250x_3 ; Bezier Curve 
|       5040 <= x <        5100;  y_56         =   84.0000 +     1.2667x    -3.9333x^2     2.4667x_3 ; Bezier Curve 
|       5130 <= x <        5190;  y_57         =   80.0000 +    -3.1583x     4.9167x^2    -1.5083x_3 ; Bezier Curve 
|       5220 <= x <        5280;  y_58         =   67.0000 +    -0.3000x     0.0000x^2     0.3000x_3 ; Bezier Curve 
|       5310 <= x <        5370;  y_59         =   72.0000 +     0.2083x     0.9833x^2    -1.1417x_3 ; Bezier Curve 
|       5400 <= x <        5460;  y_60         =   84.0000 +    -0.0583x    -0.9833x^2     0.9917x_3 ; Bezier Curve 
|       5490 <= x <        5550;  y_61         =   77.0000 +    -3.9917x     6.8833x^2    -2.5417x_3 ; Bezier Curve 
|       5580 <= x <        5640;  y_62         =   68.0000 +     1.2417x    -0.9833x^2    -0.3083x_3 ; Bezier Curve 
|       5670 <= x <        5730;  y_63         =   86.0000 +    10.4167x   -21.6333x^2    10.1167x_3 ; Bezier Curve 
|       5760 <= x <        5820;  y_64         =   85.0000 +    -1.9333x     1.9667x^2     0.0667x_3 ; Bezier Curve 
|       5850 <= x <        5910;  y_65         =   65.0000 +     0.6083x     0.9833x^2    -1.5417x_3 ; Bezier Curve 
|       5940 <= x <        6000;  y_66         =   84.0000 +     0.5917x    -0.9833x^2     0.3417x_3 ; Bezier Curve 
|       6030 <= x <        6090;  y_67         =   65.0000 +     0.5083x     0.9833x^2    -1.4417x_3 ; Bezier Curve 
|       6120 <= x <        6180;  y_68         =   87.0000 +     1.7667x    -3.9333x^2     1.9667x_3 ; Bezier Curve 
|       6210 <= x <        6270;  y_69         =   88.0000 +     0.3750x    -2.9500x^2     2.4250x_3 ; Bezier Curve 
|       6300 <= x <        6360;  y_70         =   67.0000 +     0.5083x     0.9833x^2    -1.4417x_3 ; Bezier Curve 
|       6390 <= x <        6450;  y_71         =   86.0000 +     0.5417x    -0.9833x^2     0.3917x_3 ; Bezier Curve 
|       6480 <= x <        6540;  y_72         =   83.0000 +    -2.8667x     3.9333x^2    -0.8667x_3 ; Bezier Curve 
|       6570 <= x <        6630;  y_73         =   66.0000 +     0.9500x     0.0000x^2    -0.9500x_3 ; Bezier Curve 
|       6660 <= x <        6720;  y_74         =   68.0000 +    -6.5250x    14.7500x^2    -7.4750x_3 ; Bezier Curve 
|       6750 <= x <        6810;  y_75         =   66.0000 +    16.1250x   -32.4500x^2    14.6750x_3 ; Bezier Curve 
|       6840 <= x <        6900;  y_76         =   30.0000 +   -23.5583x    52.1167x^2   -25.9083x_3 ; Bezier Curve 
|       6930 <= x <        6990;  y_77         =   85.0000 +     2.4083x    -4.9167x^2     2.2583x_3 ; Bezier Curve 
|       7020 <= x <        7080;  y_78         =   80.0000 +    -0.3000x     0.0000x^2     0.3000x_3 ; Bezier Curve 
|       7110 <= x <        7170;  y_79         =   87.0000 +     0.7667x    -3.9333x^2     2.9667x_3 ; Bezier Curve 
|       7200 <= x <        7260;  y_80         =   83.0000 +    -0.3917x     0.9833x^2    -0.5417x_3 ; Bezier Curve 
|       7290 <= x <        7350;  y_81         =   65.0000 +     0.6083x     0.9833x^2    -1.5417x_3 ; Bezier Curve 
|       7380 <= x <        7440;  y_82         =   67.0000 +     1.0000x     0.0000x^2    -1.0000x_3 ; Bezier Curve 
|       7470 <= x <        7530;  y_83         =   88.0000 +     1.7667x    -3.9333x^2     1.9667x_3 ; Bezier Curve 
|       7560 <= x <        7620;  y_84         =   76.0000 +     3.8250x    -8.8500x^2     4.5750x_3 ; Bezier Curve 
|       7650 <= x <        7710;  y_85         =   83.0000 +    -1.4750x     2.9500x^2    -1.3250x_3 ; Bezier Curve 
|       7740 <= x <        7800;  y_86         =   85.0000 +     7.8500x   -17.7000x^2     8.9500x_3 ; Bezier Curve 
|       7830 <= x <        7890;  y_87         =   83.0000 +    -2.7167x     3.9333x^2    -1.0167x_3 ; Bezier Curve 
|       7920 <= x <        7980;  y_88         =   87.0000 +     0.9333x    -1.9667x^2     0.9333x_3 ; Bezier Curve 
|       8010 <= x <        8070;  y_89         =   65.0000 +     0.3583x     0.9833x^2    -1.2917x_3 ; Bezier Curve 
|       8100 <= x <        8160;  y_90         =   85.0000 +     6.9667x   -15.7333x^2     7.9667x_3 ; Bezier Curve 
|       8190 <= x <        8250;  y_91         =   66.0000 +    -8.7333x    19.6667x^2    -9.9333x_3 ; Bezier Curve 
|       8280 <= x <        8340;  y_92         =   68.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|       8370 <= x <        8430;  y_93         =   84.0000 +     9.2417x   -18.6833x^2     8.4917x_3 ; Bezier Curve 
|       8460 <= x <        8520;  y_94         =   86.0000 +    14.5000x   -29.5000x^2    13.5000x_3 ; Bezier Curve 
|       8550 <= x <        8610;  y_95         =   67.0000 +     1.3417x    -0.9833x^2    -0.4083x_3 ; Bezier Curve 
|       8640 <= x <        8700;  y_96         =   87.0000 +    -1.3417x     0.9833x^2     0.4083x_3 ; Bezier Curve 
|       8730 <= x <        8790;  y_97         =   63.0000 +    -0.4750x     2.9500x^2    -2.3250x_3 ; Bezier Curve 
|       8820 <= x <        8880;  y_98         =   66.0000 +    -7.9000x    17.7000x^2    -8.9000x_3 ; Bezier Curve 
|       8910 <= x <        8970;  y_99         =   86.0000 +     0.8833x    -1.9667x^2     0.9833x_3 ; Bezier Curve 
|       9000 <= x <        9060;  y_100        =   67.0000 +    -8.2083x    16.7167x^2    -7.6583x_3 ; Bezier Curve 
|       9090 <= x <        9150;  y_101        =   70.0000 +     0.7000x     0.0000x^2    -0.7000x_3 ; Bezier Curve 
|       9180 <= x <        9240;  y_102        =   61.0000 +    14.8333x   -31.4667x^2    15.0333x_3 ; Bezier Curve 
|       9270 <= x <        9330;  y_103        =   69.0000 +     2.1750x    -2.9500x^2     0.6250x_3 ; Bezier Curve 
|       9360 <= x <        9420;  y_104        =   81.0000 +    -2.0750x     2.9500x^2    -0.7250x_3 ; Bezier Curve 
|       9450 <= x <        9510;  y_105        =   79.0000 +    -0.3417x     0.9833x^2    -0.5917x_3 ; Bezier Curve 
|       9540 <= x <        9600;  y_106        =   65.0000 +    -9.0917x    18.6833x^2    -8.6417x_3 ; Bezier Curve 
|       9630 <= x <        9690;  y_107        =   77.0000 +     0.5000x     0.0000x^2    -0.5000x_3 ; Bezier Curve 
|       9720 <= x <        9780;  y_108        =   65.0000 +     0.0667x     1.9667x^2    -1.9333x_3 ; Bezier Curve 
|       9810 <= x <        9870;  y_109        =   87.0000 +     5.7500x   -11.8000x^2     5.4500x_3 ; Bezier Curve 
|       9900 <= x <        9960;  y_110        =   85.0000 +     0.2417x    -0.9833x^2     0.6917x_3 ; Bezier Curve 
|       9990 <= x <       10050;  y_111        =   86.0000 +    10.7667x   -21.6333x^2     9.7667x_3 ; Bezier Curve 
|      10080 <= x <       10140;  y_112        =   86.0000 +     8.7833x   -19.6667x^2     9.8833x_3 ; Bezier Curve 
|      10170 <= x <       10230;  y_113        =   86.0000 +     1.0167x    -3.9333x^2     2.7167x_3 ; Bezier Curve 
|      10260 <= x <       10320;  y_114        =   64.0000 +    -9.2750x    20.6500x^2   -10.3250x_3 ; Bezier Curve 
|      10350 <= x <       10410;  y_115        =   82.0000 +    -1.7333x     1.9667x^2    -0.1333x_3 ; Bezier Curve 
|      10440 <= x <       10500;  y_116        =   66.0000 +     1.0000x     0.0000x^2    -1.0000x_3 ; Bezier Curve 
|      10530 <= x <       10590;  y_117        =   85.0000 +    -1.0333x     1.9667x^2    -0.8333x_3 ; Bezier Curve 
|      10620 <= x <       10680;  y_118        =   84.0000 +     2.1167x    -3.9333x^2     1.6167x_3 ; Bezier Curve 
|      10710 <= x <       10770;  y_119        =   63.0000 +     0.1167x     1.9667x^2    -1.9833x_3 ; Bezier Curve 
|      10800 <= x <       10860;  y_120        =   86.0000 +     8.1917x   -18.6833x^2     9.5417x_3 ; Bezier Curve 
|      10890 <= x <       10950;  y_121        =   85.0000 +    -0.7417x     0.9833x^2    -0.1917x_3 ; Bezier Curve 
|      10980 <= x <       11040;  y_122        =   83.0000 +     8.5583x   -16.7167x^2     7.3083x_3 ; Bezier Curve 
|      11070 <= x <       11130;  y_123        =   85.0000 +    -1.9333x     1.9667x^2     0.0667x_3 ; Bezier Curve 
|      11160 <= x <       11220;  y_124        =   66.0000 +    -7.3250x    14.7500x^2    -6.6750x_3 ; Bezier Curve 
|      11250 <= x <       11310;  y_125        =   67.0000 +     0.8500x    -0.0000x^2    -0.8500x_3 ; Bezier Curve 
|      11340 <= x <       11400;  y_126        =   85.0000 +    -0.9000x     0.0000x^2     0.9000x_3 ; Bezier Curve 
|      11430 <= x <       11490;  y_127        =   83.0000 +     6.0000x   -17.7000x^2    10.8000x_3 ; Bezier Curve 
|      11520 <= x <       11580;  y_128        =   63.0000 +     0.1167x     1.9667x^2    -1.9833x_3 ; Bezier Curve 
|      11610 <= x <       11670;  y_129        =   85.0000 +    -0.5583x    -0.9833x^2     1.4917x_3 ; Bezier Curve 
|      11700 <= x <       11760;  y_130        =   65.0000 +     0.9500x     0.0000x^2    -0.9500x_3 ; Bezier Curve 
|      11790 <= x <       11850;  y_131        =   86.0000 +     8.5500x   -17.7000x^2     8.2500x_3 ; Bezier Curve 
|      11880 <= x <       11940;  y_132        =   83.0000 +    -2.2667x     3.9333x^2    -1.4667x_3 ; Bezier Curve 
|      11970 <= x <       12030;  y_133        =   82.0000 +    -1.2250x     2.9500x^2    -1.5750x_3 ; Bezier Curve 
|      12060 <= x <       12120;  y_134        =   66.0000 +     1.0000x     0.0000x^2    -1.0000x_3 ; Bezier Curve 
|      12150 <= x <       12210;  y_135        =   84.0000 +     1.5083x    -4.9167x^2     3.1583x_3 ; Bezier Curve 
|      12240 <= x <       12300;  y_136        =   65.0000 +    -8.7000x    17.7000x^2    -8.1000x_3 ; Bezier Curve 
|      12330 <= x <       12390;  y_137        =   66.0000 +    -0.6250x     2.9500x^2    -2.1750x_3 ; Bezier Curve 
|      12420 <= x <       12480;  y_138        =   84.0000 +     8.7000x   -17.7000x^2     8.1000x_3 ; Bezier Curve 
|      12510 <= x <       12570;  y_139        =   84.0000 +     6.4750x   -14.7500x^2     7.5250x_3 ; Bezier Curve 
|      12600 <= x <       12660;  y_140        =   83.0000 +    -1.4750x     2.9500x^2    -1.3250x_3 ; Bezier Curve 
|      12690 <= x <       12750;  y_141        =   67.0000 +     0.3583x     0.9833x^2    -1.2917x_3 ; Bezier Curve 
|      12780 <= x <       12840;  y_142        =   83.0000 +    -1.7833x     1.9667x^2    -0.0833x_3 ; Bezier Curve 
|      12870 <= x <       12930;  y_143        =   68.0000 +     0.3083x     0.9833x^2    -1.2417x_3 ; Bezier Curve 
|      12960 <= x <       13020;  y_144        =   83.0000 +    -1.8833x     1.9667x^2     0.0167x_3 ; Bezier Curve 
|      13050 <= x <       13110;  y_145        =   69.0000 +    -4.6083x    10.8167x^2    -5.6583x_3 ; Bezier Curve 
|      13140 <= x <       13200;  y_146        =   83.0000 +    -1.6333x     1.9667x^2    -0.2333x_3 ; Bezier Curve 
|      13230 <= x <       13290;  y_147        =   82.0000 +     2.1167x    -3.9333x^2     1.6167x_3 ; Bezier Curve 
|      13320 <= x <       13380;  y_148        =   86.0000 +     0.1417x    -0.9833x^2     0.7917x_3 ; Bezier Curve 
|      13410 <= x <       13470;  y_149        =   67.0000 +    -9.4000x    17.7000x^2    -7.4000x_3 ; Bezier Curve 
|      13500 <= x <       13560;  y_150        =   66.0000 +     0.5583x     0.9833x^2    -1.4917x_3 ; Bezier Curve 
|      13590 <= x <       13650;  y_151        =   85.0000 +    -1.0000x     0.0000x^2     1.0000x_3 ; Bezier Curve 
|      13680 <= x <       13740;  y_152        =   65.0000 +     8.1167x   -15.7333x^2     6.8167x_3 ; Bezier Curve 
|      13770 <= x <       13830;  y_153        =   26.0000 +   -25.0833x    55.0667x^2   -27.1833x_3 ; Bezier Curve 
|      13860 <= x <       13920;  y_154        =   65.0000 +     1.3917x    -0.9833x^2    -0.4583x_3 ; Bezier Curve 
|      13950 <= x <       14010;  y_155        =   83.0000 +    -1.9333x     1.9667x^2     0.0667x_3 ; Bezier Curve 
|      14040 <= x <       14100;  y_156        =   66.0000 +     1.2917x    -0.9833x^2    -0.3583x_3 ; Bezier Curve 
|      14130 <= x <       14190;  y_157        =   85.0000 +     7.3583x   -16.7167x^2     8.5083x_3 ; Bezier Curve 
|      14220 <= x <       14280;  y_158        =   84.0000 +    -1.7833x     1.9667x^2    -0.0833x_3 ; Bezier Curve 
|      14310 <= x <       14370;  y_159        =   68.0000 +     1.2917x    -0.9833x^2    -0.3583x_3 ; Bezier Curve 
|      14400 <= x <       14460;  y_160        =   88.0000 +    10.7667x   -21.6333x^2     9.7667x_3 ; Bezier Curve 
|      14490 <= x <       14550;  y_161        =   85.0000 +     0.6750x    -2.9500x^2     2.1250x_3 ; Bezier Curve 
|      14580 <= x <       14640;  y_162        =   70.0000 +     3.0083x    -4.9167x^2     1.6583x_3 ; Bezier Curve 
|      14670 <= x <       14730;  y_163        =   82.0000 +    -2.4750x     2.9500x^2    -0.3250x_3 ; Bezier Curve 
|      14760 <= x <       14820;  y_164        =   66.0000 +    -8.9333x    19.6667x^2    -9.7333x_3 ; Bezier Curve 
|      14850 <= x <       14910;  y_165        =   73.0000 +    -2.7917x     6.8833x^2    -3.7417x_3 ; Bezier Curve 
|      14940 <= x <       15000;  y_166        =   86.0000 +     9.0417x   -18.6833x^2     8.6917x_3 ; Bezier Curve 
|      15030 <= x <       15090;  y_167        =   68.0000 +    -0.2333x     1.9667x^2    -1.6333x_3 ; Bezier Curve 
|      15120 <= x <       15180;  y_168        =   84.0000 +    -0.9333x     1.9667x^2    -0.9333x_3 ; Bezier Curve 
|      15210 <= x <       15270;  y_169        =   86.0000 +    -0.8500x     0.0000x^2     0.8500x_3 ; Bezier Curve 
|      15300 <= x <       15360;  y_170        =   76.0000 +     2.3167x    -3.9333x^2     1.4167x_3 ; Bezier Curve 
|      15390 <= x <       15450;  y_171        =   86.0000 +    -0.5583x    -0.9833x^2     1.4917x_3 ; Bezier Curve 
|      15480 <= x <       15540;  y_172        =   66.0000 +     0.0000x     0.0000x^2     0.0000x_3 ; Bezier Curve 
|      15570 <= x <       15630;  y_173        =   82.0000 +     1.9667x    -3.9333x^2     1.7667x_3 ; Bezier Curve 
|      15660 <= x <       15720;  y_174        =   85.0000 +    -1.0833x     1.9667x^2    -0.7833x_3 ; Bezier Curve 
|      15750 <= x <       15810;  y_175        =   83.0000 +    -1.8833x     1.9667x^2     0.0167x_3 ; Bezier Curve 
|      15840 <= x <       15900;  y_176        =   65.0000 +    -9.3250x    20.6500x^2   -10.2750x_3 ; Bezier Curve 
|      15930 <= x <       15990;  y_177        =   85.0000 +    -1.4917x     0.9833x^2     0.5583x_3 ; Bezier Curve 
|      16020 <= x <       16080;  y_178        =   65.0000 +     7.8333x   -13.7667x^2     5.2333x_3 ; Bezier Curve 
|      16110 <= x <       16170;  y_179        =   27.0000 +   -24.3500x    53.1000x^2   -26.0500x_3 ; Bezier Curve 
|      16200 <= x <       16260;  y_180        =   85.0000 +     0.4250x    -2.9500x^2     2.3750x_3 ; Bezier Curve 
|      16290 <= x <       16350;  y_181        =   65.0000 +     0.4083x     0.9833x^2    -1.3417x_3 ; Bezier Curve 
|      16380 <= x <       16440;  y_182        =   81.0000 +    -2.7167x     3.9333x^2    -1.0167x_3 ; Bezier Curve 
|      16470 <= x <       16530;  y_183        =   66.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|      16560 <= x <       16620;  y_184        =   81.0000 +    -2.2250x     2.9500x^2    -0.5750x_3 ; Bezier Curve 
|      16650 <= x <       16710;  y_185        =   66.0000 +     0.4583x     0.9833x^2    -1.3917x_3 ; Bezier Curve 
|      16740 <= x <       16800;  y_186        =   80.0000 +    -2.6167x     3.9333x^2    -1.1167x_3 ; Bezier Curve 
|      16830 <= x <       16890;  y_187        =   66.0000 +     1.3917x    -0.9833x^2    -0.4583x_3 ; Bezier Curve 
|      16920 <= x <       16980;  y_188        =   82.0000 +    -2.2250x     2.9500x^2    -0.5750x_3 ; Bezier Curve 
