|       5760 <= x <        5820;  y_64         =   81.0000 +    -0.9500x     0.0000x^2     0.9500x_3 ; Bezier Curve 
|       5850 <= x <        5910;  y_65         =   62.0000 +     1.8833x    -1.9667x^2    -0.0167x_3 ; Bezier Curve 
|       5940 <= x <        6000;  y_66         =   81.0000 +     2.0667x    -3.9333x^2     1.6667x_3 ; Bezier Curve 
|       6030 <= x <        6090;  y_67         =   62.0000 +     1.0000x     0.0000x^2    -1.0000x_3 ; Bezier Curve 
|       6120 <= x <        6180;  y_68         =   81.0000 +     1.8167x    -3.9333x^2     1.9167x_3 ; Bezier Curve 
|       6210 <= x <        6270;  y_69         =   81.0000 +    -0.4583x    -0.9833x^2     1.3917x_3 ; Bezier Curve 
|       6300 <= x <        6360;  y_70         =   63.0000 +     0.8000x    -0.0000x^2    -0.8000x_3 ; Bezier Curve 
|       6390 <= x <        6450;  y_71         =   80.0000 +     0.5417x    -0.9833x^2     0.3917x_3 ; Bezier Curve 
|       6480 <= x <        6540;  y_72         =   81.0000 +     0.0333x    -1.9667x^2     1.8333x_3 ; Bezier Curve 
|       6570 <= x <        6630;  y_73         =   62.0000 +     1.8833x    -1.9667x^2    -0.0167x_3 ; Bezier Curve 
|       6660 <= x <        6720;  y_74         =   64.0000 +    -6.0333x    13.7667x^2    -7.0333x_3 ; Bezier Curve 
|       6750 <= x <        6810;  y_75         =   62.0000 +    16.1250x   -32.4500x^2    14.6750x_3 ; Bezier Curve 
|       6840 <= x <        6900;  y_76         =   28.0000 +   -21.6917x    48.1833x^2   -24.0417x_3 ; Bezier Curve 
|       6930 <= x <        6990;  y_77         =   77.0000 +    -0.1000x     0.0000x^2     0.1000x_3 ; Bezier Curve 
|       7020 <= x <        7080;  y_78         =   76.0000 +    -1.7750x     2.9500x^2    -1.0250x_3 ; Bezier Curve 
|       7110 <= x <        7170;  y_79         =   77.0000 +    -2.1750x     2.9500x^2    -0.6250x_3 ; Bezier Curve 
|       7200 <= x <        7260;  y_80         =   76.0000 +     0.7917x    -0.9833x^2     0.1417x_3 ; Bezier Curve 
|       7290 <= x <        7350;  y_81         =   62.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|       7380 <= x <        7440;  y_82         =   63.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|       7470 <= x <        7530;  y_83         =   82.0000 +     0.8333x    -1.9667x^2     1.0333x_3 ; Bezier Curve 
|       7560 <= x <        7620;  y_84         =   75.0000 +     5.2500x   -11.8000x^2     5.9500x_3 ; Bezier Curve 
|       7650 <= x <        7710;  y_85         =   78.0000 +    -0.9833x     1.9667x^2    -0.8833x_3 ; Bezier Curve 
|       7740 <= x <        7800;  y_86         =   78.0000 +     6.0833x   -13.7667x^2     6.9833x_3 ; Bezier Curve 
|       7830 <= x <        7890;  y_87         =   81.0000 +    -1.8333x     1.9667x^2    -0.0333x_3 ; Bezier Curve 
|       7920 <= x <        7980;  y_88         =   78.0000 +    -0.3917x     0.9833x^2    -0.5417x_3 ; Bezier Curve 
|       8010 <= x <        8070;  y_89         =   62.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|       8100 <= x <        8160;  y_90         =   79.0000 +     6.6250x   -14.7500x^2     7.3750x_3 ; Bezier Curve 
|       8190 <= x <        8250;  y_91         =   63.0000 +    -8.2500x    17.7000x^2    -8.5500x_3 ; Bezier Curve 
|       8280 <= x <        8340;  y_92         =   64.0000 +     0.8000x    -0.0000x^2    -0.8000x_3 ; Bezier Curve 
|       8370 <= x <        8430;  y_93         =   80.0000 +     8.8000x   -17.7000x^2     8.0000x_3 ; Bezier Curve 
|       8460 <= x <        8520;  y_94         =   81.0000 +     2.6000x    -5.9000x^2     3.0000x_3 ; Bezier Curve 
|       8550 <= x <        8610;  y_95         =   63.0000 +     1.3917x    -0.9833x^2    -0.4583x_3 ; Bezier Curve 
|       8640 <= x <        8700;  y_96         =   81.0000 +    -1.7333x     1.9667x^2    -0.1333x_3 ; Bezier Curve 
|       8730 <= x <        8790;  y_97         =   62.0000 +     1.9333x    -1.9667x^2    -0.0667x_3 ; Bezier Curve 
|       8820 <= x <        8880;  y_98         =   64.0000 +    -7.6083x    16.7167x^2    -8.2583x_3 ; Bezier Curve 
|       8910 <= x <        8970;  y_99         =   81.0000 +     0.9333x    -1.9667x^2     0.9333x_3 ; Bezier Curve 
|       9000 <= x <        9060;  y_100        =   64.0000 +    -6.8333x    13.7667x^2    -6.2333x_3 ; Bezier Curve 
|       9090 <= x <        9150;  y_101        =   66.0000 +     0.5500x     0.0000x^2    -0.5500x_3 ; Bezier Curve 
|       9180 <= x <        9240;  y_102        =   59.0000 +    14.4833x   -31.4667x^2    15.3833x_3 ; Bezier Curve 
|       9270 <= x <        9330;  y_103        =   65.0000 +     0.2083x     0.9833x^2    -1.1417x_3 ; Bezier Curve 
|       9360 <= x <        9420;  y_104        =   77.0000 +    -2.0250x     2.9500x^2    -0.7750x_3 ; Bezier Curve 
|       9450 <= x <        9510;  y_105        =   73.0000 +    -0.6333x     1.9667x^2    -1.2333x_3 ; Bezier Curve 
|       9540 <= x <        9600;  y_106        =   62.0000 +    -8.0583x    16.7167x^2    -7.8083x_3 ; Bezier Curve 
|       9630 <= x <        9690;  y_107        =   74.0000 +     0.8917x    -0.9833x^2     0.0417x_3 ; Bezier Curve 
|       9720 <= x <        9780;  y_108        =   60.0000 +    -0.5250x     2.9500x^2    -2.2750x_3 ; Bezier Curve 
|       9810 <= x <        9870;  y_109        =   80.0000 +     5.8500x   -11.8000x^2     5.3500x_3 ; Bezier Curve 
|       9900 <= x <        9960;  y_110        =   78.0000 +    -0.1500x     0.0000x^2     0.1500x_3 ; Bezier Curve 
|       9990 <= x <       10050;  y_111        =   81.0000 +     9.7833x   -19.6667x^2     8.8833x_3 ; Bezier Curve 
|      10080 <= x <       10140;  y_112        =   78.0000 +     6.5750x   -14.7500x^2     7.4250x_3 ; Bezier Curve 
|      10170 <= x <       10230;  y_113        =   82.0000 +     0.0833x    -1.9667x^2     1.7833x_3 ; Bezier Curve 
|      10260 <= x <       10320;  y_114        =   64.0000 +    -4.1667x     9.8333x^2    -5.1667x_3 ; Bezier Curve 
|      10350 <= x <       10410;  y_115        =   78.0000 +     1.1667x    -3.9333x^2     2.5667x_3 ; Bezier Curve 
|      10440 <= x <       10500;  y_116        =   64.0000 +     1.2417x    -0.9833x^2    -0.3083x_3 ; Bezier Curve 
|      10530 <= x <       10590;  y_117        =   79.0000 +    -1.0833x     1.9667x^2    -0.7833x_3 ; Bezier Curve 
|      10620 <= x <       10680;  y_118        =   79.0000 +     1.0333x    -1.9667x^2     0.8333x_3 ; Bezier Curve 
|      10710 <= x <       10770;  y_119        =   62.0000 +     1.9333x    -1.9667x^2    -0.0667x_3 ; Bezier Curve 
|      10800 <= x <       10860;  y_120        =   82.0000 +     8.1417x   -18.6833x^2     9.5917x_3 ; Bezier Curve 
|      10890 <= x <       10950;  y_121        =   80.0000 +    -0.5917x     0.9833x^2    -0.3417x_3 ; Bezier Curve 
|      10980 <= x <       11040;  y_122        =   78.0000 +     8.5083x   -16.7167x^2     7.3583x_3 ; Bezier Curve 
|      11070 <= x <       11130;  y_123        =   80.0000 +    -1.4417x     0.9833x^2     0.5083x_3 ; Bezier Curve 
|      11160 <= x <       11220;  y_124        =   63.0000 +    -8.3083x    16.7167x^2    -7.5583x_3 ; Bezier Curve 
|      11250 <= x <       11310;  y_125        =   64.0000 +     0.2583x     0.9833x^2    -1.1917x_3 ; Bezier Curve 
|      11340 <= x <       11400;  y_126        =   79.0000 +    -0.8000x     0.0000x^2     0.8000x_3 ; Bezier Curve 
|      11430 <= x <       11490;  y_127        =   74.0000 +     5.4167x   -15.7333x^2     9.5167x_3 ; Bezier Curve 
|      11520 <= x <       11580;  y_128        =   60.0000 +     0.5083x     0.9833x^2    -1.4417x_3 ; Bezier Curve 
|      11610 <= x <       11670;  y_129        =   79.0000 +    -0.9500x     0.0000x^2     0.9500x_3 ; Bezier Curve 
|      11700 <= x <       11760;  y_130        =   62.0000 +     1.6833x    -1.9667x^2     0.1833x_3 ; Bezier Curve 
|      11790 <= x <       11850;  y_131        =   79.0000 +     6.7833x   -13.7667x^2     6.2833x_3 ; Bezier Curve 
|      11880 <= x <       11940;  y_132        =   79.0000 +    -1.6250x     2.9500x^2    -1.1750x_3 ; Bezier Curve 
|      11970 <= x <       12030;  y_133        =   75.0000 +    -2.1083x     4.9167x^2    -2.5583x_3 ; Bezier Curve 
|      12060 <= x <       12120;  y_134        =   62.0000 +     7.3417x   -12.7833x^2     4.7917x_3 ; Bezier Curve 
|      12150 <= x <       12210;  y_135        =   77.0000 +    -1.6833x     1.9667x^2    -0.1833x_3 ; Bezier Curve 
|      12240 <= x <       12300;  y_136        =   64.0000 +    -7.3750x    14.7500x^2    -6.6250x_3 ; Bezier Curve 
|      12330 <= x <       12390;  y_137        =   64.0000 +     0.8000x    -0.0000x^2    -0.8000x_3 ; Bezier Curve 
