|          0 <= x <          60;  y_0          =   50.0000 +    -0.0833x     1.9667x^2    -1.7833x_3 ; Bezier Curve 
|         90 <= x <         150;  y_1          =   70.0000 +     0.8750x    -2.9500x^2     1.9250x_3 ; Bezier Curve 
|        180 <= x <         240;  y_2          =   63.0000 +    -0.5833x     1.9667x^2    -1.2833x_3 ; Bezier Curve 
|        270 <= x <         330;  y_3          =   71.0000 +     7.6667x   -15.7333x^2     7.2667x_3 ; Bezier Curve 
|        360 <= x <         420;  y_4          =   64.0000 +     3.8750x    -8.8500x^2     4.5250x_3 ; Bezier Curve 
|        450 <= x <         510;  y_5          =   71.0000 +     7.8667x   -15.7333x^2     7.0667x_3 ; Bezier Curve 
|        540 <= x <         600;  y_6          =   53.0000 +     0.8500x    -0.0000x^2    -0.8500x_3 ; Bezier Curve 
|        630 <= x <         690;  y_7          =   56.0000 +    -8.4583x    16.7167x^2    -7.4083x_3 ; Bezier Curve 
|        720 <= x <         780;  y_8          =   72.0000 +    -1.3417x     0.9833x^2     0.4083x_3 ; Bezier Curve 
|        810 <= x <         870;  y_9          =   73.0000 +    -0.4917x     0.9833x^2    -0.4417x_3 ; Bezier Curve 
|        900 <= x <         960;  y_10         =   72.0000 +    -0.9333x     1.9667x^2    -0.9333x_3 ; Bezier Curve 
|        990 <= x <        1050;  y_11         =   73.0000 +     8.7500x   -17.7000x^2     8.0500x_3 ; Bezier Curve 
|       1080 <= x <        1140;  y_12         =   55.0000 +    -7.5583x    16.7167x^2    -8.3083x_3 ; Bezier Curve 
|       1170 <= x <        1230;  y_13         =   72.0000 +     0.4417x    -0.9833x^2     0.4917x_3 ; Bezier Curve 
|       1260 <= x <        1320;  y_14         =   73.0000 +     0.9333x    -1.9667x^2     0.9333x_3 ; Bezier Curve 
|       1350 <= x <        1410;  y_15         =   57.0000 +     0.3417x    -0.9833x^2     0.5917x_3 ; Bezier Curve 
|       1440 <= x <        1500;  y_16         =   71.0000 +    -1.3750x     2.9500x^2    -1.4250x_3 ; Bezier Curve 
|       1530 <= x <        1590;  y_17         =   53.0000 +    -5.8000x    11.8000x^2    -5.4000x_3 ; Bezier Curve 
|       1620 <= x <        1680;  y_18         =   73.0000 +     8.8000x   -17.7000x^2     8.0000x_3 ; Bezier Curve 
|       1710 <= x <        1770;  y_19         =   71.0000 +     5.9833x   -13.7667x^2     7.0833x_3 ; Bezier Curve 
|       1800 <= x <        1860;  y_20         =   54.0000 +     0.3583x     0.9833x^2    -1.2917x_3 ; Bezier Curve 
|       1890 <= x <        1950;  y_21         =   56.0000 +     0.3583x     0.9833x^2    -1.2917x_3 ; Bezier Curve 
|       1980 <= x <        2040;  y_22         =   54.0000 +    -0.8333x     1.9667x^2    -1.0333x_3 ; Bezier Curve 
|       2070 <= x <        2130;  y_23         =   56.0000 +    -5.1500x    11.8000x^2    -6.0500x_3 ; Bezier Curve 
|       2160 <= x <        2220;  y_24         =   25.0000 +   -22.2250x    44.2500x^2   -19.7750x_3 ; Bezier Curve 
|       2250 <= x <        2310;  y_25         =   56.0000 +     0.2583x     0.9833x^2    -1.1917x_3 ; Bezier Curve 
|       2340 <= x <        2400;  y_26         =   71.0000 +     8.0167x   -15.7333x^2     6.9167x_3 ; Bezier Curve 
|       2430 <= x <        2490;  y_27         =   73.0000 +     7.2750x   -14.7500x^2     6.7250x_3 ; Bezier Curve 
|       2520 <= x <        2580;  y_28         =   56.0000 +    -8.3083x    16.7167x^2    -7.5583x_3 ; Bezier Curve 
|       2610 <= x <        2670;  y_29         =   71.0000 +     5.3917x   -12.7833x^2     6.7417x_3 ; Bezier Curve 
|       2700 <= x <        2760;  y_30         =   73.0000 +     0.8833x    -1.9667x^2     0.9833x_3 ; Bezier Curve 
|       2790 <= x <        2850;  y_31         =   69.0000 +     4.7083x   -10.8167x^2     5.5583x_3 ; Bezier Curve 
|       2880 <= x <        2940;  y_32         =   71.0000 +    -1.6333x     1.9667x^2    -0.2333x_3 ; Bezier Curve 
|       2970 <= x <        3030;  y_33         =   71.0000 +     0.0000x     0.0000x^2     0.0000x_3 ; Bezier Curve 
|       3060 <= x <        3120;  y_34         =   71.0000 +    -1.4750x     2.9500x^2    -1.3250x_3 ; Bezier Curve 
|       3150 <= x <        3210;  y_35         =   72.0000 +    -0.2583x    -0.9833x^2     1.1917x_3 ; Bezier Curve 
|       3240 <= x <        3300;  y_36         =   56.0000 +    -7.2750x    14.7500x^2    -6.7250x_3 ; Bezier Curve 
|       3330 <= x <        3390;  y_37         =   70.0000 +    -1.8167x     3.9333x^2    -1.9167x_3 ; Bezier Curve 
|       3420 <= x <        3480;  y_38         =   74.0000 +     0.9333x    -1.9667x^2     0.9333x_3 ; Bezier Curve 
|       3510 <= x <        3570;  y_39         =   59.0000 +    -4.7583x    10.8167x^2    -5.5083x_3 ; Bezier Curve 
|       3600 <= x <        3660;  y_40         =   73.0000 +    -0.7917x     0.9833x^2    -0.1417x_3 ; Bezier Curve 
|       3690 <= x <        3750;  y_41         =   69.0000 +    -0.7333x     1.9667x^2    -1.1333x_3 ; Bezier Curve 
|       3780 <= x <        3840;  y_42         =   56.0000 +    -7.5083x    16.7167x^2    -8.3583x_3 ; Bezier Curve 
|       3870 <= x <        3930;  y_43         =   70.0000 +     5.6917x   -12.7833x^2     6.4417x_3 ; Bezier Curve 
|       3960 <= x <        4020;  y_44         =   73.0000 +     8.7000x   -17.7000x^2     8.1000x_3 ; Bezier Curve 
|       4050 <= x <        4110;  y_45         =   57.0000 +    -5.2500x    11.8000x^2    -5.9500x_3 ; Bezier Curve 
|       4140 <= x <        4200;  y_46         =   57.0000 +    -5.1000x    11.8000x^2    -6.1000x_3 ; Bezier Curve 
|       4230 <= x <        4290;  y_47         =   54.0000 +    -8.3917x    18.6833x^2    -9.3417x_3 ; Bezier Curve 
|       4320 <= x <        4380;  y_48         =   54.0000 +    -9.6833x    19.6667x^2    -8.9833x_3 ; Bezier Curve 
|       4410 <= x <        4470;  y_49         =   53.0000 +    -3.4167x     3.9333x^2    -0.3167x_3 ; Bezier Curve 
|       4500 <= x <        4560;  y_50         =   54.0000 +    -8.6417x    18.6833x^2    -9.0917x_3 ; Bezier Curve 
|       4590 <= x <        4650;  y_51         =   68.0000 +     0.2000x    -0.0000x^2    -0.2000x_3 ; Bezier Curve 
|       4680 <= x <        4740;  y_52         =   73.0000 +    -0.6917x     0.9833x^2    -0.2417x_3 ; Bezier Curve 
|       4770 <= x <        4830;  y_53         =   72.0000 +    -1.3417x     0.9833x^2     0.4083x_3 ; Bezier Curve 
|       4860 <= x <        4920;  y_54         =   55.0000 +     0.7000x     0.0000x^2    -0.7000x_3 ; Bezier Curve 
|       4950 <= x <        5010;  y_55         =   71.0000 +     4.1167x    -9.8333x^2     5.2167x_3 ; Bezier Curve 
|       5040 <= x <        5100;  y_56         =   71.0000 +    -1.5333x     1.9667x^2    -0.3333x_3 ; Bezier Curve 
|       5130 <= x <        5190;  y_57         =   67.0000 +    -3.5500x     5.9000x^2    -2.0500x_3 ; Bezier Curve 
|       5220 <= x <        5280;  y_58         =   56.0000 +     0.4417x    -0.9833x^2     0.4917x_3 ; Bezier Curve 
|       5310 <= x <        5370;  y_59         =   60.0000 +    -0.3333x     1.9667x^2    -1.5333x_3 ; Bezier Curve 
|       5400 <= x <        5460;  y_60         =   72.0000 +    -0.0583x    -0.9833x^2     0.9917x_3 ; Bezier Curve 
|       5490 <= x <        5550;  y_61         =   63.0000 +    -5.3167x     9.8333x^2    -4.0167x_3 ; Bezier Curve 
|       5580 <= x <        5640;  y_62         =   58.0000 +     2.1250x    -2.9500x^2     0.6750x_3 ; Bezier Curve 
|       5670 <= x <        5730;  y_63         =   73.0000 +     9.6833x   -19.6667x^2     8.9833x_3 ; Bezier Curve 
|       5760 <= x <        5820;  y_64         =   74.0000 +    -0.9500x     0.0000x^2     0.9500x_3 ; Bezier Curve 
|       5850 <= x <        5910;  y_65         =   54.0000 +     1.0000x     0.0000x^2    -1.0000x_3 ; Bezier Curve 
|       5940 <= x <        6000;  y_66         =   72.0000 +     0.5417x    -0.9833x^2     0.3917x_3 ; Bezier Curve 
|       6030 <= x <        6090;  y_67         =   55.0000 +     1.3917x    -0.9833x^2    -0.4583x_3 ; Bezier Curve 
|       6120 <= x <        6180;  y_68         =   71.0000 +     0.0000x     0.0000x^2     0.0000x_3 ; Bezier Curve 
|       6210 <= x <        6270;  y_69         =   74.0000 +     0.0333x    -1.9667x^2     1.8333x_3 ; Bezier Curve 
|       6300 <= x <        6360;  y_70         =   56.0000 +     1.1917x    -0.9833x^2    -0.2583x_3 ; Bezier Curve 
|       6390 <= x <        6450;  y_71         =   72.0000 +     0.5417x    -0.9833x^2     0.3917x_3 ; Bezier Curve 
|       6480 <= x <        6540;  y_72         =   69.0000 +    -2.6667x     3.9333x^2    -1.0667x_3 ; Bezier Curve 
|       6570 <= x <        6630;  y_73         =   55.0000 +     0.8500x    -0.0000x^2    -0.8500x_3 ; Bezier Curve 
|       6660 <= x <        6720;  y_74         =   56.0000 +    -6.0333x    13.7667x^2    -7.0333x_3 ; Bezier Curve 
|       6750 <= x <        6810;  y_75         =   55.0000 +    12.7333x   -25.5667x^2    11.5333x_3 ; Bezier Curve 
|       6840 <= x <        6900;  y_76         =   26.0000 +   -19.1417x    42.2833x^2   -20.9917x_3 ; Bezier Curve 
|       6930 <= x <        6990;  y_77         =   72.0000 +     0.9333x    -1.9667x^2     0.9333x_3 ; Bezier Curve 
|       7020 <= x <        7080;  y_78         =   69.0000 +     1.0250x    -2.9500x^2     1.7750x_3 ; Bezier Curve 
|       7110 <= x <        7170;  y_79         =   73.0000 +    -1.2917x     0.9833x^2     0.3583x_3 ; Bezier Curve 
|       7200 <= x <        7260;  y_80         =   71.0000 +    -1.0833x     1.9667x^2    -0.7833x_3 ; Bezier Curve 
|       7290 <= x <        7350;  y_81         =   55.0000 +     0.3000x    -0.0000x^2    -0.3000x_3 ; Bezier Curve 
|       7380 <= x <        7440;  y_82         =   57.0000 +     1.6333x    -1.9667x^2     0.2333x_3 ; Bezier Curve 
|       7470 <= x <        7530;  y_83         =   73.0000 +     1.3250x    -2.9500x^2     1.4750x_3 ; Bezier Curve 
|       7560 <= x <        7620;  y_84         =   70.0000 +     6.1333x   -13.7667x^2     6.9333x_3 ; Bezier Curve 
|       7650 <= x <        7710;  y_85         =   73.0000 +     0.8833x    -1.9667x^2     0.9833x_3 ; Bezier Curve 
|       7740 <= x <        7800;  y_86         =   73.0000 +     7.4083x   -16.7167x^2     8.4583x_3 ; Bezier Curve 
|       7830 <= x <        7890;  y_87         =   72.0000 +    -1.7333x     1.9667x^2    -0.1333x_3 ; Bezier Curve 
|       7920 <= x <        7980;  y_88         =   74.0000 +     1.3250x    -2.9500x^2     1.4750x_3 ; Bezier Curve 
|       8010 <= x <        8070;  y_89         =   55.0000 +     1.7333x    -1.9667x^2     0.1333x_3 ; Bezier Curve 
|       8100 <= x <        8160;  y_90         =   72.0000 +     5.6417x   -12.7833x^2     6.4917x_3 ; Bezier Curve 
|       8190 <= x <        8250;  y_91         =   55.0000 +    -7.4083x    16.7167x^2    -8.4583x_3 ; Bezier Curve 
|       8280 <= x <        8340;  y_92         =   58.0000 +     1.2417x    -0.9833x^2    -0.3083x_3 ; Bezier Curve 
|       8370 <= x <        8430;  y_93         =   73.0000 +     8.7000x   -17.7000x^2     8.1000x_3 ; Bezier Curve 
|       8460 <= x <        8520;  y_94         =   73.0000 +    10.3667x   -21.6333x^2    10.1667x_3 ; Bezier Curve 
|       8550 <= x <        8610;  y_95         =   56.0000 +     1.2417x    -0.9833x^2    -0.3083x_3 ; Bezier Curve 
|       8640 <= x <        8700;  y_96         =   72.0000 +    -1.1417x     0.9833x^2     0.2083x_3 ; Bezier Curve 
|       8730 <= x <        8790;  y_97         =   50.0000 +    -1.4083x     4.9167x^2    -3.2583x_3 ; Bezier Curve 
|       8820 <= x <        8880;  y_98         =   58.0000 +    -6.8250x    14.7500x^2    -7.1750x_3 ; Bezier Curve 
|       8910 <= x <        8970;  y_99         =   74.0000 +    -0.2000x     0.0000x^2     0.2000x_3 ; Bezier Curve 
|       9000 <= x <        9060;  y_100        =   56.0000 +    -7.5750x    14.7500x^2    -6.4250x_3 ; Bezier Curve 
|       9090 <= x <        9150;  y_101        =   58.0000 +    -0.2833x     1.9667x^2    -1.5833x_3 ; Bezier Curve 
|       9180 <= x <        9240;  y_102        =   53.0000 +    12.2250x   -26.5500x^2    12.9750x_3 ; Bezier Curve 
|       9270 <= x <        9330;  y_103        =   57.0000 +     0.2083x     0.9833x^2    -1.1417x_3 ; Bezier Curve 
|       9360 <= x <        9420;  y_104        =   65.0000 +    -4.2333x     7.8667x^2    -3.2333x_3 ; Bezier Curve 
|       9450 <= x <        9510;  y_105        =   67.0000 +     1.7750x    -2.9500x^2     1.0250x_3 ; Bezier Curve 
|       9540 <= x <        9600;  y_106        =   55.0000 +    -7.5667x    15.7333x^2    -7.3667x_3 ; Bezier Curve 
|       9630 <= x <        9690;  y_107        =   66.0000 +     1.8750x    -2.9500x^2     0.9250x_3 ; Bezier Curve 
|       9720 <= x <        9780;  y_108        =   55.0000 +     0.8500x    -0.0000x^2    -0.8500x_3 ; Bezier Curve 
|       9810 <= x <        9870;  y_109        =   73.0000 +     4.8667x    -9.8333x^2     4.4667x_3 ; Bezier Curve 
|       9900 <= x <        9960;  y_110        =   71.0000 +     0.3917x    -0.9833x^2     0.5417x_3 ; Bezier Curve 
|       9990 <= x <       10050;  y_111        =   74.0000 +     9.2917x   -18.6833x^2     8.4417x_3 ; Bezier Curve 
|      10080 <= x <       10140;  y_112        =   74.0000 +     7.9000x   -17.7000x^2     8.9000x_3 ; Bezier Curve 
|      10170 <= x <       10230;  y_113        =   58.0000 +    -7.5250x    14.7500x^2    -6.4750x_3 ; Bezier Curve 
|      10260 <= x <       10320;  y_114        =   56.0000 +    -6.5750x    14.7500x^2    -7.4250x_3 ; Bezier Curve 
|      10350 <= x <       10410;  y_115        =   70.0000 +    -0.1583x    -0.9833x^2     1.0917x_3 ; Bezier Curve 
|      10440 <= x <       10500;  y_116        =   56.0000 +    -0.0917x     0.9833x^2    -0.8417x_3 ; Bezier Curve 
|      10530 <= x <       10590;  y_117        =   70.0000 +     0.0500x    -0.0000x^2    -0.0500x_3 ; Bezier Curve 
|      10620 <= x <       10680;  y_118        =   70.0000 +     0.6417x    -0.9833x^2     0.2917x_3 ; Bezier Curve 
|      10710 <= x <       10770;  y_119        =   54.0000 +     0.3583x     0.9833x^2    -1.2917x_3 ; Bezier Curve 
|      10800 <= x <       10860;  y_120        =   73.0000 +     7.8000x   -17.7000x^2     9.0000x_3 ; Bezier Curve 
|      10890 <= x <       10950;  y_121        =   71.0000 +    -0.9833x     1.9667x^2    -0.8833x_3 ; Bezier Curve 
|      10980 <= x <       11040;  y_122        =   70.0000 +     7.5250x   -14.7500x^2     6.4750x_3 ; Bezier Curve 
|      11070 <= x <       11130;  y_123        =   73.0000 +    -0.3583x    -0.9833x^2     1.2917x_3 ; Bezier Curve 
|      11160 <= x <       11220;  y_124        =   55.0000 +    -7.8167x    15.7333x^2    -7.1167x_3 ; Bezier Curve 
|      11250 <= x <       11310;  y_125        =   58.0000 +     1.0417x    -0.9833x^2    -0.1083x_3 ; Bezier Curve 
|      11340 <= x <       11400;  y_126        =   72.0000 +    -0.2583x    -0.9833x^2     1.1917x_3 ; Bezier Curve 
|      11430 <= x <       11490;  y_127        =   65.0000 +     4.8333x   -13.7667x^2     8.2333x_3 ; Bezier Curve 
|      11520 <= x <       11580;  y_128        =   53.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|      11610 <= x <       11670;  y_129        =   71.0000 +    -0.8500x     0.0000x^2     0.8500x_3 ; Bezier Curve 
|      11700 <= x <       11760;  y_130        =   55.0000 +     0.3583x     0.9833x^2    -1.2917x_3 ; Bezier Curve 
|      11790 <= x <       11850;  y_131        =   57.0000 +     1.0917x    -0.9833x^2    -0.1583x_3 ; Bezier Curve 
|      11880 <= x <       11940;  y_132        =   70.0000 +    -1.5750x     2.9500x^2    -1.2250x_3 ; Bezier Curve 
|      11970 <= x <       12030;  y_133        =   70.0000 +    -0.4917x     0.9833x^2    -0.4417x_3 ; Bezier Curve 
|      12060 <= x <       12120;  y_134        =   55.0000 +     0.3583x     0.9833x^2    -1.2917x_3 ; Bezier Curve 
|      12150 <= x <       12210;  y_135        =   72.0000 +    -0.8000x     0.0000x^2     0.8000x_3 ; Bezier Curve 
|      12240 <= x <       12300;  y_136        =   55.0000 +    -7.7667x    15.7333x^2    -7.1667x_3 ; Bezier Curve 
|      12330 <= x <       12390;  y_137        =   58.0000 +     0.7500x     0.0000x^2    -0.7500x_3 ; Bezier Curve 
|      12420 <= x <       12480;  y_138        =   71.0000 +     7.7667x   -15.7333x^2     7.1667x_3 ; Bezier Curve 
|      12510 <= x <       12570;  y_139        =   70.0000 +     5.6417x   -12.7833x^2     6.4917x_3 ; Bezier Curve 
|      12600 <= x <       12660;  y_140        =   70.0000 +    -1.4750x     2.9500x^2    -1.3250x_3 ; Bezier Curve 
|      12690 <= x <       12750;  y_141        =   58.0000 +     0.6500x     0.0000x^2    -0.6500x_3 ; Bezier Curve 
|      12780 <= x <       12840;  y_142        =   71.0000 +    -0.6500x     0.0000x^2     0.6500x_3 ; Bezier Curve 
|      12870 <= x <       12930;  y_143        =   58.0000 +     0.2083x     0.9833x^2    -1.1417x_3 ; Bezier Curve 
|      12960 <= x <       13020;  y_144        =   71.0000 +    -0.1583x    -0.9833x^2     1.0917x_3 ; Bezier Curve 
|      13050 <= x <       13110;  y_145        =   57.0000 +    -5.2000x    11.8000x^2    -6.0000x_3 ; Bezier Curve 
|      13140 <= x <       13200;  y_146        =   67.0000 +    -2.4167x     3.9333x^2    -1.3167x_3 ; Bezier Curve 
|      13230 <= x <       13290;  y_147        =   68.0000 +     1.2333x    -1.9667x^2     0.6333x_3 ; Bezier Curve 
|      13320 <= x <       13380;  y_148        =   73.0000 +     0.7833x    -1.9667x^2     1.0833x_3 ; Bezier Curve 
|      13410 <= x <       13470;  y_149        =   69.0000 +    -2.0750x     2.9500x^2    -0.7250x_3 ; Bezier Curve 
|      13500 <= x <       13560;  y_150        =   56.0000 +     0.7500x     0.0000x^2    -0.7500x_3 ; Bezier Curve 
|      13590 <= x <       13650;  y_151        =   73.0000 +    -0.9000x     0.0000x^2     0.9000x_3 ; Bezier Curve 
|      13680 <= x <       13740;  y_152        =   55.0000 +     5.6583x   -10.8167x^2     4.6083x_3 ; Bezier Curve 
|      13770 <= x <       13830;  y_153        =   24.0000 +   -21.2083x    46.2167x^2   -22.6583x_3 ; Bezier Curve 
|      13860 <= x <       13920;  y_154        =   55.0000 +     1.2417x    -0.9833x^2    -0.3083x_3 ; Bezier Curve 
|      13950 <= x <       14010;  y_155        =   71.0000 +     0.0833x    -1.9667x^2     1.7833x_3 ; Bezier Curve 
|      14040 <= x <       14100;  y_156        =   55.0000 +     0.4083x     0.9833x^2    -1.3417x_3 ; Bezier Curve 
|      14130 <= x <       14190;  y_157        =   72.0000 +     6.5750x   -14.7500x^2     7.4250x_3 ; Bezier Curve 
|      14220 <= x <       14280;  y_158        =   69.0000 +    -1.5333x     1.9667x^2    -0.3333x_3 ; Bezier Curve 
|      14310 <= x <       14370;  y_159        =   58.0000 +     0.7000x     0.0000x^2    -0.7000x_3 ; Bezier Curve 
|      14400 <= x <       14460;  y_160        =   74.0000 +     9.2917x   -18.6833x^2     8.4417x_3 ; Bezier Curve 
|      14490 <= x <       14550;  y_161        =   73.0000 +     3.1833x    -7.8667x^2     4.2833x_3 ; Bezier Curve 
|      14580 <= x <       14640;  y_162        =   58.0000 +     1.9250x    -2.9500x^2     0.8750x_3 ; Bezier Curve 
|      14670 <= x <       14730;  y_163        =   71.0000 +    -0.9500x     0.0000x^2     0.9500x_3 ; Bezier Curve 
|      14760 <= x <       14820;  y_164        =   55.0000 +    -7.9500x    17.7000x^2    -8.8500x_3 ; Bezier Curve 
|      14850 <= x <       14910;  y_165        =   67.0000 +     2.2667x    -3.9333x^2     1.4667x_3 ; Bezier Curve 
|      14940 <= x <       15000;  y_166        =   63.0000 +     3.6417x    -6.8833x^2     2.8917x_3 ; Bezier Curve 
|      15030 <= x <       15090;  y_167        =   58.0000 +     0.5000x     0.0000x^2    -0.5000x_3 ; Bezier Curve 
|      15120 <= x <       15180;  y_168        =   72.0000 +     2.4083x    -4.9167x^2     2.2583x_3 ; Bezier Curve 
|      15210 <= x <       15270;  y_169        =   74.0000 +     0.3833x    -1.9667x^2     1.4833x_3 ; Bezier Curve 
|      15300 <= x <       15360;  y_170        =   63.0000 +     2.0250x    -2.9500x^2     0.7750x_3 ; Bezier Curve 
|      15390 <= x <       15450;  y_171        =   71.0000 +    -1.7833x     1.9667x^2    -0.0833x_3 ; Bezier Curve 
|      15480 <= x <       15540;  y_172        =   55.0000 +     0.1000x    -0.0000x^2    -0.1000x_3 ; Bezier Curve 
|      15570 <= x <       15630;  y_173        =   54.0000 +    -2.9833x     7.8667x^2    -4.4833x_3 ; Bezier Curve 
